Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.345177, 1, 1, 0, 0, 1, 0
0.710485, 1, 1, 0, 0, 1, 0
1.0839, 0.964656, 1, 0, 0, 0.943815, 0
1.42906, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.81071, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.20046, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.54564, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.94366, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.28864, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.66619, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.04374, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.38892, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.78678, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.18071, 0.950462, 0.943815, 0.241223, 0.241223, 0.943815, 0
5.56646, 0.93465, 0.931862, 0.964872, 0.964872, 0.930443, 0
5.95231, 0.918544, 0.913385, 1.68133, 1.68133, 0.913385, 0
6.33819, 0.910744, 0.908503, 2.24183, 2.24183, 0.907656, 1
6.73197, 0.905613, 0.903281, 2.95808, 2.95808, 0.898086, 1
7.11761, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
7.51162, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
7.90546, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
8.25869, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
8.61213, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
8.99406, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
9.38003, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
9.75759, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
10.1311, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
10.4966, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
10.8863, 0.902754, 0.898086, 2.95808, 2.95808, 0.898086, 1
11.2681, 0.900581, 0.896484, 3.25571, 3.25571, 0.896484, 1
11.6497, 0.898663, 0.895026, 3.7852, 3.7852, 0.894323, 1
12.0395, 0.895208, 0.89151, 4.38453, 4.38453, 0.89151, 1
12.4294, 0.89076, 0.887604, 5.10819, 5.10819, 0.88651, 1
12.8273, 0.885271, 0.881914, 5.9487, 5.9487, 0.879154, 1
13.213, 0.878306, 0.87418, 6.48956, 6.48956, 0.871354, 1
13.5947, 0.871477, 0.865729, 7.20578, 7.20578, 0.865729, 1
13.9602, 0.865196, 0.859753, 7.86369, 7.86369, 0.859753, 1
14.3216, 0.858408, 0.85332, 8.52882, 8.52882, 0.85332, 2
14.6992, 0.849952, 0.84724, 9.12815, 9.12815, 0.846107, 2
15.0972, 0.834867, 0.836198, 9.85178, 9.85178, 0.83319, 2
15.4505, 0.813079, 0.806784, 10.2684, 10.2684, 0.806784, 2
15.8322, 0.813079, 0.804935, 10.2684, 10.2684, 0.804935, 2
